YEAR,MONTH,U.S._STATE,POSTAL.CODE,NERC.REGION,CLIMATE.REGION,ANOMALY.LEVEL,CLIMATE.CATEGORY,OUTAGE.START.DATE,OUTAGE.START.TIME,OUTAGE.RESTORATION.DATE,OUTAGE.RESTORATION.TIME,CAUSE.CATEGORY,CAUSE.CATEGORY.DETAIL,HURRICANE.NAMES,OUTAGE.DURATION,DEMAND.LOSS.MW,CUSTOMERS.AFFECTED,RES.PRICE,COM.PRICE,IND.PRICE,TOTAL.PRICE,RES.SALES,COM.SALES,IND.SALES,TOTAL.SALES,RES.PERCEN,COM.PERCEN,IND.PERCEN,RES.CUSTOMERS,COM.CUSTOMERS,IND.CUSTOMERS,TOTAL.CUSTOMERS,RES.CUST.PCT,COM.CUST.PCT,IND.CUST.PCT,PC.REALGSP.STATE,PC.REALGSP.USA,PC.REALGSP.REL,PC.REALGSP.CHANGE,UTIL.REALGSP,TOTAL.REALGSP,UTIL.CONTRI,PI.UTIL.OFUSA,POPULATION,POPPCT_URBAN,POPPCT_UC,POPDEN_URBAN,POPDEN_UC,POPDEN_RURAL,AREAPCT_URBAN,AREAPCT_UC,PCT_LAND,PCT_WATER_TOT,PCT_WATER_INLAND,OUTAGE.START,OUTAGE.RESTORATION,MONTH.NAME,duration_missing
2016,5,Washington,WA,WECC,Northwest,0.6,warm,2016-05-08,09:12:00,,,islanding,,,,,,9.54,8.22,4.28,7.48,2306815.0,2339211.0,2022697.0,6669170.0,34.5892367416035,35.0749943396255,30.3290664355534,2985799.0,367847.0,29012.0,3382664.0,88.26767896545445,10.87447644814856,0.8576672114049755,57796.0,50660.0,1.14086063955784,4.3,3504.0,420809.0,0.832681810512608,0.7,7280934,84.05,9.08,2380.0,1487.9,16.7,3.57,0.62,93.2087856601868,6.79121433981318,2.40539706583635,2016-05-08 09:12:00,,May,True
2002,4,Arizona,AZ,WECC,Southwest,0.2,normal,2002-04-08,15:00:00,,,intentional attack,vandalism,,,0,0,7.69,6.87,4.99,6.65,1520687.0,1682147.0,916453.0,4330353.0,35.1169292665055,38.8454936583692,21.163470968764,2095776.0,225026.0,6376.0,2351763.0,89.11510215952883,9.568396135154774,0.27111575443614,39387.0,45097.0,0.873384038849591,0.3,4972.0,212543.0,2.33929134339875,1.8,5396255,89.81,9.74,2625.4,1669.0,5.8,1.92,0.33,99.6526011053601,0.347398894639881,0.347398894639881,2002-04-08 15:00:00,,Apr,True
2014,1,Arizona,AZ,WECC,Southwest,-0.5,cold,2014-01-30,15:00:00,,,intentional attack,vandalism,,,,,10.83,9.45,5.83,9.27,2299846.0,2100774.0,1148798.0,5549419.0,41.4430051145895,37.8557467006907,20.7012301648155,2661694.0,312221.0,7710.0,2981625.0,89.26991154152518,10.47150463254098,0.25858382593384477,38438.0,49091.0,0.78299484630584,0.4,5365.0,258744.0,2.07347803234085,2.0,6728783,89.81,9.74,2625.4,1669.0,5.8,1.92,0.33,99.6526011053601,0.347398894639881,0.347398894639881,2014-01-30 15:00:00,,Jan,True
2000,5,Arizona,AZ,WECC,Southwest,-0.7,cold,2000-05-31,01:15:00,,,intentional attack,vandalism,,,,,9.04,7.23,5.64,7.43,1915707.0,1929923.0,1054183.0,5170548.0,37.0503668083151,37.3253086520036,20.3882257741346,1959669.0,211921.0,4760.0,2193562.0,89.33729705383298,9.661044456459402,0.21699865333188664,39247.0,44745.0,0.877125935858755,2.4,5745.0,202536.0,2.83653276454556,1.7,5160586,89.81,9.74,2625.4,1669.0,5.8,1.92,0.33,99.6526011053601,0.347398894639881,0.347398894639881,2000-05-31 01:15:00,,May,True
2000,6,Ohio,OH,ECAR,Central,-0.7,cold,2000-06-14,15:45:00,,,equipment failure,relaying malfunction,,,294,,9.54,7.84,4.56,6.83,3868663.0,3708300.0,6142396.0,14083913.0,27.4686658459194,26.3300405221191,43.6128510592191,4684127.0,527626.0,29631.0,5261626.0,89.02432441986564,10.027812695163055,0.5631529112863589,42320.0,44745.0,0.945804000446977,1.8,12475.0,480907.0,2.5940566471272,3.4,11363543,77.92,12.61,2033.7,1740.1,69.9,10.82,2.05,91.154687012002,8.84531298799804,1.05742203185651,2000-06-14 15:45:00,,Jun,True
2000,,North Carolina,NC,SERC,Southeast,,,,,,,severe weather,thunderstorm,,,175,50000,,,,,,,,,,,,3561203.0,513727.0,12577.0,4105711.0,86.73779036079256,12.512497835332297,0.30632940311678053,42201.0,44745.0,0.943144485417365,1.5,8262.0,341051.0,2.42251158917581,2.2,8081614,66.09,11.21,1367.2,1043.7,73.5,9.48,2.11,90.3361266467233,9.66387335327672,7.52893959382374,,,,True
2014,1,New Jersey,NJ,RFC,Northeast,-0.5,cold,2014-01-21,17:00:00,,,intentional attack,vandalism,,,,,15.22,13.71,14.22,14.36,2669227.0,3235599.0,646187.0,6578782.0,40.573270249721,49.1823410473246,9.82228929306367,3470874.0,511335.0,12313.0,3994528.0,86.89071650017223,12.800886612886428,0.3082466814602376,55841.0,49091.0,1.13749974537084,0.5,9818.0,499117.0,1.96707385242338,3.1,8938844,94.68,2.44,2851.2,1446.5,105.5,39.7,2.01,84.3058580763499,15.6826779777599,4.99828040811647,2014-01-21 17:00:00,,Jan,True
2015,6,New Jersey,NJ,NPCC,Northeast,1.0,warm,2015-06-23,18:26:00,,,severe weather,,,,90,73000,16.44,13.86,11.09,14.64,2678984.0,3301771.0,608105.0,6614106.0,40.504098361895,49.9201403787602,9.19406190345302,3489111.0,512894.0,12191.0,4014202.0,86.91916849226821,12.776985313643907,0.3036967247786733,56721.0,49844.0,1.13797046785972,1.6,9269.0,503515.0,1.84085876289684,3.2,8958013,94.68,2.44,2851.2,1446.5,105.5,39.7,2.01,84.3058580763499,15.6826779777599,4.99828040811647,2015-06-23 18:26:00,,Jun,True
2014,1,New Jersey,NJ,RFC,Northeast,-0.5,cold,2014-01-26,23:00:00,,,intentional attack,,,,,,15.22,13.71,14.22,14.36,2669227.0,3235599.0,646187.0,6578782.0,40.573270249721,49.1823410473246,9.82228929306367,3470874.0,511335.0,12313.0,3994528.0,86.89071650017223,12.800886612886428,0.3082466814602376,55841.0,49091.0,1.13749974537084,0.5,9818.0,499117.0,1.96707385242338,3.1,8938844,94.68,2.44,2851.2,1446.5,105.5,39.7,2.01,84.3058580763499,15.6826779777599,4.99828040811647,2014-01-26 23:00:00,,Jan,True
2016,2,Oregon,OR,WECC,Northwest,2.0,warm,2016-02-07,14:58:00,,,intentional attack,sabotage,,,,,10.37,8.88,5.9,8.86,1694938.0,1285120.0,874543.0,3856593.0,43.949102225721,33.3226762585526,22.6765697080299,1706622.0,231692.0,24628.0,1962944.0,86.94196064686511,11.803291382739395,1.2546460826187604,50751.0,50660.0,1.00179628898539,2.6,3179.0,207367.0,1.53303081010961,0.9,4085989,81.03,18.56,2804.9,1973.3,7.7,1.15,0.38,97.5696032689903,2.43039673100967,1.08559753605952,2016-02-07 14:58:00,,Feb,True
